status,pr_url,hub_id,downloads,likes
,,[shreevigneshs/iwslt-2023-en-es-train-val-split-0.1](https://huggingface.co/datasets/shreevigneshs/iwslt-2023-en-es-train-val-split-0.1),0,0
,,[shreevigneshs/iwslt-2023-en-ko-train-val-split-0.1](https://huggingface.co/datasets/shreevigneshs/iwslt-2023-en-ko-train-val-split-0.1),0,0
,,[shreevigneshs/iwslt-2023-en-vi-train-val-split-0.1](https://huggingface.co/datasets/shreevigneshs/iwslt-2023-en-vi-train-val-split-0.1),0,0
,,[dandrade/es-en](https://huggingface.co/datasets/dandrade/es-en),0,1
,,[cahya/instructions-en](https://huggingface.co/datasets/cahya/instructions-en),0,0
,,[shreevigneshs/iwslt-2023-en-vi-train-split-v1](https://huggingface.co/datasets/shreevigneshs/iwslt-2023-en-vi-train-split-v1),0,1
,,[shreevigneshs/iwslt-2022-en-de](https://huggingface.co/datasets/shreevigneshs/iwslt-2022-en-de),0,0
,,[shreevigneshs/iwslt-2023-en-ko-train-split](https://huggingface.co/datasets/shreevigneshs/iwslt-2023-en-ko-train-split),0,0
,,[shreevigneshs/iwslt-2022-en-es](https://huggingface.co/datasets/shreevigneshs/iwslt-2022-en-es),0,0
,,[loresiensis/corpus-en-es](https://huggingface.co/datasets/loresiensis/corpus-en-es),0,1
,,[NadiaHassan/ar-en](https://huggingface.co/datasets/NadiaHassan/ar-en),0,0
,,[Rexhaif/mintaka-qa-en](https://huggingface.co/datasets/Rexhaif/mintaka-qa-en),0,0
,,[mbarnig/Tatoeba-en-lb](https://huggingface.co/datasets/mbarnig/Tatoeba-en-lb),0,0
,,[yogiyulianto/twitter-sentiment-dataset-en](https://huggingface.co/datasets/yogiyulianto/twitter-sentiment-dataset-en),0,0
,,[vocab-transformers/wiki-en-passages-20210101](https://huggingface.co/datasets/vocab-transformers/wiki-en-passages-20210101),0,0
,,[OpenFact/CLEF23-CheckThat-1b-en](https://huggingface.co/datasets/OpenFact/CLEF23-CheckThat-1b-en),1,0
,,[thesistranslation/distilled-ccmatrix-es-en](https://huggingface.co/datasets/thesistranslation/distilled-ccmatrix-es-en),1,0
,,[thesistranslation/distilled-ccmatrix-en-es](https://huggingface.co/datasets/thesistranslation/distilled-ccmatrix-en-es),1,0
,,[thesistranslation/distilled-ccmatrix-fr-en](https://huggingface.co/datasets/thesistranslation/distilled-ccmatrix-fr-en),1,0
,,[shreevigneshs/iwslt-2023-en-vi-train-split](https://huggingface.co/datasets/shreevigneshs/iwslt-2023-en-vi-train-split),1,0
,,[marksverdhei/wordnet-definitions-en-2021](https://huggingface.co/datasets/marksverdhei/wordnet-definitions-en-2021),1,1
,,[Jackmin108/c4-en-validation-mini](https://huggingface.co/datasets/Jackmin108/c4-en-validation-mini),2,0
,,[thesistranslation/distilled-ccmatrix-de-en](https://huggingface.co/datasets/thesistranslation/distilled-ccmatrix-de-en),2,0
,,[yezhengli9/wmt20-zh-en](https://huggingface.co/datasets/yezhengli9/wmt20-zh-en),2,0
,,[masoudjs/c4-en-html-with-metadata-ppl-clean](https://huggingface.co/datasets/masoudjs/c4-en-html-with-metadata-ppl-clean),2,0
,,[indiejoseph/wikipedia-en-filtered](https://huggingface.co/datasets/indiejoseph/wikipedia-en-filtered),3,0
,,[thesistranslation/distilled-ccmatrix-en-fr](https://huggingface.co/datasets/thesistranslation/distilled-ccmatrix-en-fr),3,0
,,[lsb/million-english-numbers](https://huggingface.co/datasets/lsb/million-english-numbers),3,0
,,[vhtran/de-en-official](https://huggingface.co/datasets/vhtran/de-en-official),4,0
,,[yongsun-yoon/open-ner-english](https://huggingface.co/datasets/yongsun-yoon/open-ner-english),4,0
,,[Shularp/un_multi-ar-en](https://huggingface.co/datasets/Shularp/un_multi-ar-en),4,0
,,[vhtran/uniq-de-en](https://huggingface.co/datasets/vhtran/uniq-de-en),5,1
,,[TigerResearch/tigerbot-wiki-qa-bart-en-10k](https://huggingface.co/datasets/TigerResearch/tigerbot-wiki-qa-bart-en-10k),5,0
,,[RafaelMPereira/HealthCareMagic-100k-Chat-Format-en](https://huggingface.co/datasets/RafaelMPereira/HealthCareMagic-100k-Chat-Format-en),7,2
,,[vhtran/de-en](https://huggingface.co/datasets/vhtran/de-en),8,0
,,[vhtran/id-en](https://huggingface.co/datasets/vhtran/id-en),8,1
,,[openmachinetranslation/tatoeba-en-fr](https://huggingface.co/datasets/openmachinetranslation/tatoeba-en-fr),8,1
,,[Photolens/oasst1-en](https://huggingface.co/datasets/Photolens/oasst1-en),10,1
